UA,mun,uf,lon_pc,lat_pc,Biomassa_Mg_ha,bio_Mg_ha_10,bio_Mg_ha_5,n_arvores_total,n_arvores_10,n_arvores_5,n_subunidades,n_subparcelas_5,area_ha_10,area_ha_5,dap_medio_10,ht_media_10,flag_subunidades_incompletas,flag_poucas_arvores,flag_biomassa_extrema
GO_352,Uruana,Goiás,-49.6799999999,-15.4799999999,74.07337561557216,67.34568570296871,6.727689912603459,117.0,104,13.0,3,3.0,0.3,0.03,19.508635100646636,11.567307692307692,True,False,False
GO_353,Rianápolis,Goiás,-49.4999999999,-15.4799999999,22.312896014539177,11.418345124929607,10.894550889609569,86.0,63,23.0,4,2.0,0.4,0.02,14.977014321607223,6.434920634920634,False,False,False
GO_354,Santa Isabel,Goiás,-49.3199999999,-15.4799999999,24.606011091185387,19.52728260952119,5.078728481664195,148.0,113,35.0,4,8.0,0.4,0.08,14.279034485244251,7.730088495575221,False,False,False
GO_356,Vila Propício,Goiás,-48.9599999999,-15.4799999999,39.31277879735895,25.242379518259394,14.070399279099558,216.0,149,67.0,4,6.0,0.4,0.06,15.405345895108724,6.705369127516779,False,False,False
GO_357,Vila Propício,Goiás,-48.7799999999,-15.4799999999,12.514446046490834,10.768547674328783,1.7458983721620513,40.0,31,9.0,4,3.0,0.4,0.03,17.933668801135823,7.522580645161291,False,False,False
GO_358,Cocalzinho de Goiás,Goiás,-48.5999999999,-15.4799999999,44.30827685198106,33.824996556519764,10.483280295461295,214.0,138,76.0,4,8.0,0.4,0.08,15.457806947808846,8.794202898550724,False,False,False
GO_359,Padre Bernardo,Goiás,-48.4199999999,-15.4799999999,14.274868212519188,9.038856553486179,5.236011659033009,74.0,43,31.0,4,6.0,0.4,0.06,16.564645070162587,6.73953488372093,False,False,False
GO_36,Minaçu,Goiás,-48.4199999999,-13.3199999999,30.0486833720677,17.61559669872026,12.43308667334744,111.0,66,45.0,3,4.0,0.3,0.04,13.945296898457892,8.663636363636362,True,False,False
GO_360,Padre Bernardo,Goiás,-48.2399999999,-15.4799999999,31.799445825464144,24.797322465504465,7.00212335995968,105.0,73,32.0,4,5.0,0.4,0.05,17.724474351523913,7.826027397260273,False,False,False
GO_361,Padre Bernardo,Goiás,-48.0599999999,-15.4799999999,8.279406835045005,4.796870354283359,3.482536480761646,47.0,29,18.0,4,6.0,0.4,0.06,14.89003195892778,7.26551724137931,False,False,False
GO_362,Planaltina,Goiás,-47.8799999999,-15.4799999999,37.69743935975649,34.63125948890996,3.0661798708465238,34.0,23,11.0,3,5.0,0.3,0.05,24.0904392342948,11.360869565217392,True,False,False
GO_363,Planaltina,Goiás,-47.6999999999,-15.4799999999,8.77812616412965,2.905105380996628,5.873020783133023,28.0,11,17.0,2,4.0,0.2,0.04,14.25827877329955,7.0181818181818185,True,False,False
GO_365,Formosa,Goiás,-47.3399999999,-15.4799999999,26.48207731125664,15.12175186838836,11.360325442868279,75.0,32,43.0,4,5.0,0.4,0.05,19.74331786824714,8.946875,False,False,False
GO_367,Formosa,Goiás,-46.9799999999,-15.4799999999,1.6948386867347494,1.6948386867347494,0.0,2.0,2,0.0,2,0.0,0.2,0.0,24.8,6.35,True,True,False
GO_37,Minaçu,Goiás,-48.2399999999,-13.3199999999,9.843758254056587,9.843758254056587,0.0,16.0,16,0.0,3,0.0,0.3,0.0,19.575,9.4125,True,False,False
GO_370,Santa Fé de Goiás,Goiás,-51.2999999999,-15.6599999999,10.890923219426666,10.890923219426666,0.0,1.0,1,0.0,1,0.0,0.1,0.0,48.3,11.3,True,True,False
GO_371,Santa Fé de Goiás,Goiás,-51.1199999999,-15.6599999999,34.01056417162728,34.01056417162728,0.0,30.0,30,0.0,2,0.0,0.2,0.0,20.803122097700122,8.6,True,False,False
GO_372,Itapirapuã,Goiás,-50.9399999999,-15.6599999999,2.8736970332210876,2.8736970332210876,0.0,2.0,2,0.0,2,0.0,0.2,0.0,28.22300310776461,9.15,True,True,False
GO_374,Goiás,Goiás,-50.5799999999,-15.6599999999,11.983320633131475,6.604007531286767,5.3793131018447085,46.0,28,18.0,4,3.0,0.4,0.03,16.33227059604234,7.5,False,False,False
GO_375,Goiás,Goiás,-50.3999999999,-15.6599999999,17.84651257677687,11.435620575911171,6.410892000865699,43.0,29,14.0,3,2.0,0.3,0.02,18.080886715344956,8.606896551724137,True,False,False
GO_376,Goiás,Goiás,-50.2199999999,-15.6599999999,18.136020144382275,8.34053200558088,9.795488138801396,118.0,58,60.0,4,8.0,0.4,0.08,13.727442897610281,7.36551724137931,False,False,False
GO_377,Guaraíta,Goiás,-50.0399999999,-15.6599999999,6.591598926322932,6.591598926322932,0.0,4.0,4,0.0,2,0.0,0.2,0.0,28.724999999999998,9.024999999999999,True,True,False
GO_378,Itapuranga,Goiás,-49.8599999999,-15.6599999999,12.382814405874644,6.6999268551485365,5.6828875507261065,132.0,77,55.0,4,8.0,0.4,0.08,13.33759227169581,4.87012987012987,False,False,False
GO_379,Uruana,Goiás,-49.6799999999,-15.6599999999,19.997588373007282,19.997588373007282,0.0,2.0,2,0.0,1,0.0,0.1,0.0,39.55,11.3,True,True,False
GO_38,Cavalcante,Goiás,-48.0599999999,-13.3199999999,9.40796545012487,6.432950785229459,2.9750146648954106,67.0,46,21.0,4,7.0,0.4,0.07,13.633800045640404,6.923913043478261,False,False,False
GO_380,Jaraguá,Goiás,-49.4999999999,-15.6599999999,26.222240541822128,26.222240541822128,0.0,4.0,4,0.0,2,0.0,0.2,0.0,43.875,14.424999999999999,True,True,False
GO_381,Jaraguá,Goiás,-49.3199999999,-15.6599999999,6.3161827613275205,4.846500524470251,1.4696822368572695,23.0,13,10.0,3,5.0,0.3,0.05,17.51952881529791,6.792307692307692,True,False,False
GO_382,Pirenópolis,Goiás,-49.1399999999,-15.6599999999,0.7013334869484247,0.7013334869484247,0.0,2.0,2,0.0,2,0.0,0.2,0.0,16.90099553136802,5.45,True,True,False
GO_383,Pirenópolis,Goiás,-48.9599999999,-15.6599999999,58.13321953472604,48.37664266878653,9.756576865939511,195.0,159,36.0,3,5.0,0.3,0.05,15.575846595829153,8.596226415094339,True,False,False
GO_384,Cocalzinho de Goiás,Goiás,-48.7799999999,-15.6599999999,2.6099866171004447,1.2851570333548827,1.3248295837455621,17.0,11,6.0,3,4.0,0.3,0.04,14.68002522763281,3.727272727272727,True,False,False
GO_385,Cocalzinho de Goiás,Goiás,-48.5999999999,-15.6599999999,7.33609507365829,4.558149617532614,2.7779454561256767,16.0,15,1.0,4,1.0,0.4,0.01,17.54295220017773,7.180000000000001,False,False,False
GO_386,Cocalzinho de Goiás,Goiás,-48.4199999999,-15.6599999999,31.81274030286731,23.738212361968884,8.07452794089843,75.0,40,35.0,4,5.0,0.4,0.05,18.557124104589352,9.4875,False,False,False
