method,outer_oof_r2,outer_oof_rmse,outer_oof_mae,outer_oof_bias,outer_oof_slope,folds_count,r2_mean,r2_std,rmse_mean,rmse_std,bias_mean,bias_std,features,n_features,subset_hash
Genetic_Algorithm_k6,0.6372228534648853,21.79555459294196,16.3797014928863,-0.22820578042737033,0.6477104385852446,25,0.567450911797045,0.1042963154121227,21.489082364614415,3.342771643808236,-0.32753577981070947,2.598157072811823,"canopy_height,clay_pct,NDVI_seca,NDWI_seca,NDVI_RE_seca,HV_dB",6,0c38ec0f34aefdd4
QAOA_Simulado_k6,0.6372228534648853,21.79555459294196,16.3797014928863,-0.22820578042737005,0.6477104385852445,25,0.567450911797045,0.10429631541212273,21.489082364614415,3.342771643808235,-0.3275357798107089,2.5981570728118233,"canopy_height,clay_pct,NDVI_seca,NDWI_seca,NDVI_RE_seca,HV_dB",6,0c38ec0f34aefdd4
Exact_Enumerated_QUBO_k7,0.6248777144506068,22.163298562015303,16.22053798650221,-0.5728000100709427,0.6387427046469006,25,0.5641713973065251,0.08642222534909037,21.720404738808632,3.456195859375427,-0.5555166993748267,2.545340372867497,"canopy_height,clay_pct,slope,NDVI_seca,NDWI_seca,NDVI_RE_seca,HV_dB",7,57145cdddd6d1892
Simulated_Annealing_k7,0.6248777144506068,22.163298562015303,16.22053798650221,-0.5728000100709424,0.6387427046469006,25,0.5641713973065251,0.08642222534909037,21.720404738808632,3.456195859375427,-0.5555166993748266,2.5453403728674973,"canopy_height,clay_pct,slope,NDVI_seca,NDWI_seca,NDVI_RE_seca,HV_dB",7,57145cdddd6d1892
RF_topK_k12,0.6056036112824698,22.725551364146792,16.63482725087696,-0.8701451892684531,0.6283341819124523,25,0.5494510205119602,0.07641609553426826,22.17430750664585,3.4658400162935408,-0.6510630345926756,2.53348743993551,"canopy_height,NDWI_seca,NDVI_RE_seca,NDVI_seca,NBR_seca,HV_dB,B8_seca,mapbiomas_2018,clay_pct,EVI_seca,elevation,slope",12,c6849d081c094f19
ET_topK_k11,0.5862164372973895,23.27740598585573,16.909419923922407,-0.7918081514870944,0.6166373843945594,25,0.53594701591928,0.06493318959486151,22.625990795480867,3.9386879042103318,-0.7257642633859531,2.386500985446812,"canopy_height,NDWI_seca,NDVI_RE_seca,NDVI_seca,NBR_seca,EVI_seca,HV_dB,clay_pct,B8_seca,mapbiomas_2018,elevation",11,39d2d3951b50de42
