macro_region,n_test,r2,rmse,mae,bias,slope,intercept
0,34,0.6417979664240465,18.97367059725015,14.99501165676385,1.2234831326644824,0.6985473210405724,15.891477763939363
1,39,0.5369097826231226,21.3252952396076,15.939376925667963,-0.7754205260713533,0.521919879202274,24.2351822600566
2,44,0.2560854288819149,26.869231021035887,21.40633976755554,-0.23036485938748735,0.5652471445551163,18.904964778164853
3,127,0.7143500738467975,22.175601566686858,16.68689827084901,-2.3372568596260637,0.6153982505130179,15.307005223110142
4,46,0.686430646104139,14.958573654918762,11.192347695627943,3.328524530738066,0.6702801357202717,13.160432937427487
